,gender1,gender2,age,afam,hispanic,other,morekids,work
281,0,1,28,0,0,0,1,36
282,1,0,21,0,0,0,0,40
283,1,0,32,0,0,0,0,0
284,1,0,32,0,0,0,0,0
285,0,0,33,0,0,0,0,0
286,0,1,33,0,0,0,0,0
287,0,0,32,0,0,0,0,52
288,0,1,28,0,0,0,1,0
289,0,1,31,1,0,0,1,1
290,1,1,30,0,0,0,0,24
291,1,0,32,1,0,0,1,52
292,0,1,29,0,0,0,0,40
293,1,0,26,0,0,0,0,30
294,0,0,32,0,0,0,0,0
295,1,1,32,0,0,0,0,52
296,0,1,30,0,0,1,0,0
297,1,1,33,0,0,0,1,0
298,1,0,32,0,0,0,1,51
299,0,1,26,0,0,0,0,0
300,0,1,31,0,0,0,1,0
301,0,1,33,0,0,0,0,52
302,0,1,27,0,0,0,0,0
303,0,0,31,0,0,0,0,0
304,1,1,35,0,0,0,1,46
305,1,0,25,0,0,0,0,0
306,0,0,31,0,0,1,0,0
307,1,0,29,0,0,0,0,0
308,1,0,32,0,0,0,0,26
309,0,1,33,0,1,0,1,52
310,1,0,31,0,0,0,0,0
311,0,1,35,0,0,0,0,0
312,1,1,32,0,0,0,0,0
313,1,0,33,0,0,0,0,36
314,1,1,33,1,0,0,0,12
315,0,0,31,0,0,0,0,52
316,1,0,29,0,0,0,0,52
317,0,0,31,0,0,0,0,31
318,1,0,29,0,1,0,0,0
319,0,0,27,0,1,1,0,52
320,0,1,32,0,0,0,0,0
321,0,1,34,0,0,0,1,0
322,1,1,30,0,0,0,0,0
323,1,0,31,0,0,0,1,0
324,0,1,32,0,0,0,1,8
325,1,0,35,0,0,0,0,0
326,1,1,34,0,0,0,0,0
327,1,0,33,0,0,0,1,0
328,1,1,35,0,0,0,1,0
329,0,1,34,0,0,0,0,0
330,0,1,34,0,0,0,0,0
331,1,0,34,0,0,0,1,51
332,1,1,27,0,0,0,0,52
333,0,0,33,0,0,0,0,0
334,1,0,35,0,0,0,0,0
335,1,0,34,0,0,0,1,0
336,1,1,24,0,1,0,1,0
337,0,1,31,0,0,0,1,0
338,0,0,23,0,0,0,0,0
339,1,1,28,0,0,0,0,11
340,1,0,31,0,0,0,0,18
341,1,0,34,0,1,0,1,0
342,1,1,32,0,0,0,0,0
343,0,1,34,0,0,0,0,52
344,0,1,27,0,0,0,0,0
345,0,0,27,0,0,1,1,16
346,1,0,34,0,1,1,1,0
347,0,0,31,0,0,0,1,0
348,1,1,30,0,0,0,0,49
349,1,1,34,0,1,1,1,0
350,0,0,32,0,0,0,0,0
351,0,1,23,0,0,0,0,16
352,0,1,33,0,0,0,1,2
353,1,0,35,0,0,0,0,18
354,0,1,35,0,0,0,1,0
355,0,0,32,0,0,0,1,38
356,0,0,27,0,0,0,0,0
357,0,1,29,0,1,0,1,46
358,0,0,22,0,1,0,0,0
359,1,0,34,0,0,0,0,38
360,0,1,26,0,0,0,0,0
361,1,0,35,0,0,0,0,0
362,1,1,30,0,0,0,0,25
363,0,0,33,0,0,0,0,0
364,1,1,28,0,1,1,0,0
365,0,1,33,0,0,0,0,0
366,0,0,33,0,0,1,0,0
367,1,0,33,0,0,0,1,52
368,0,0,27,0,0,0,0,0
369,1,0,33,0,0,0,0,52
370,1,1,34,0,0,0,1,0
371,1,0,28,0,0,0,0,0
372,0,0,35,0,0,0,1,20
373,1,0,33,0,0,0,0,0
374,0,1,33,0,0,0,0,52
375,1,0,28,0,0,1,1,0
376,0,1,32,0,0,0,0,0
377,1,1,32,1,0,0,1,1
378,1,0,24,0,0,0,0,38
379,0,0,29,0,0,0,1,0
380,1,1,29,0,0,0,0,52
381,0,1,33,0,0,0,0,0
382,0,0,30,0,1,0,1,0
383,1,1,32,0,0,1,1,52
384,1,1,33,0,0,0,0,0
385,0,1,29,0,0,0,0,0
386,1,0,35,0,0,0,0,40
387,0,0,35,0,0,0,1,0
388,1,0,30,0,0,0,1,6
389,1,1,30,0,0,0,0,40
390,0,1,33,0,0,0,0,52
391,0,1,32,0,0,0,0,52
392,1,1,33,0,0,0,0,0
393,1,0,35,0,1,0,1,3
394,1,1,33,0,1,0,0,4
395,1,1,29,0,0,0,0,0
396,1,1,33,0,0,0,0,4
397,0,0,26,0,0,0,0,0
398,0,1,28,0,0,0,0,52
399,1,1,31,0,1,0,1,0
400,1,0,30,0,0,0,0,2
401,1,0,33,0,0,0,1,8
402,0,1,35,0,0,0,0,0
403,0,0,30,0,0,0,0,0
404,1,0,27,0,0,0,0,26
405,0,1,34,0,0,0,1,0
406,0,0,25,0,0,0,0,25
407,0,1,33,0,0,0,0,0
408,1,1,31,0,0,0,1,0
409,1,1,32,0,0,0,0,20
410,0,0,28,0,0,0,1,46
411,1,1,26,0,0,0,0,26
412,1,0,35,0,0,0,1,0
413,1,1,28,0,0,0,1,15
414,1,0,28,0,0,0,0,0
415,0,1,28,0,0,0,0,0
416,1,1,32,0,0,0,1,4
417,0,1,34,0,0,0,0,0
418,1,0,32,0,0,0,0,52
419,1,0,32,0,0,0,1,52
420,1,1,32,0,0,0,0,52
421,0,0,31,0,0,0,1,0
422,0,0,33,0,0,0,0,0
423,0,1,34,0,0,0,1,10
424,1,0,25,0,0,0,1,0
425,0,0,28,0,0,0,0,6
426,1,1,29,0,1,1,0,0
427,0,0,31,0,0,0,0,50
428,1,1,30,0,0,0,0,52
429,0,0,33,0,0,0,1,0
430,1,0,31,0,0,0,0,18
431,1,0,32,0,1,0,1,41
432,1,0,35,0,0,0,0,52
433,1,1,34,0,0,0,0,40
434,0,0,27,0,0,0,0,12
435,1,1,31,0,0,0,0,0
436,1,0,31,0,1,0,0,0
437,0,0,22,0,1,0,1,0
438,0,1,28,0,1,0,0,52
439,1,0,30,0,0,0,1,0
440,0,0,34,0,0,0,0,0
441,1,1,25,0,0,0,1,0
442,1,1,29,0,0,0,0,14
443,1,0,35,0,0,0,0,0
444,1,0,27,1,0,0,0,8
445,0,0,33,0,0,0,1,12
446,0,0,26,0,0,0,0,0
447,1,1,31,0,0,0,0,0
448,0,1,26,0,0,0,0,0
449,1,0,33,1,0,0,1,40
450,1,0,21,0,1,1,0,0
451,0,0,33,0,0,0,0,52
452,0,0,32,0,0,0,0,0
453,1,0,30,0,0,0,0,18
454,1,0,27,0,0,0,1,0
455,0,0,30,0,0,0,0,36
456,0,1,32,0,0,0,0,0
457,1,1,29,0,0,0,1,17
458,0,0,35,0,0,0,0,52
459,1,1,34,0,0,0,0,16
460,1,0,29,0,1,1,1,0
461,0,1,33,0,0,0,0,26
462,1,1,33,0,0,0,0,0
463,1,1,30,0,0,0,1,0
464,1,0,32,1,0,0,0,50
465,1,0,29,0,0,0,0,0
466,0,0,35,0,0,0,0,3
467,0,0,32,0,0,0,0,34
468,1,1,32,0,1,0,1,25
469,1,0,32,0,0,0,0,17
470,0,0,30,0,0,0,0,40
471,1,0,32,0,0,0,1,44
472,0,0,31,0,0,0,1,0
473,1,0,21,1,0,0,0,24
474,1,1,25,0,0,0,0,2
475,1,0,27,0,0,0,1,0
476,1,1,32,0,0,0,0,44
477,1,1,24,0,1,0,0,52
478,0,1,35,0,0,0,0,52
479,0,1,29,0,0,0,0,48
480,1,0,33,0,0,0,1,0
481,0,1,31,0,0,0,0,28
482,1,1,35,0,0,0,0,52
483,1,0,32,0,0,0,0,36
484,1,0,31,0,0,0,0,0
485,0,0,33,0,0,1,1,0
486,0,1,30,0,0,0,1,0
487,0,1,34,0,0,0,0,0
488,0,0,24,0,0,0,1,0
489,1,0,30,0,0,0,0,0
490,1,1,26,0,0,0,0,40
491,0,1,23,0,0,0,1,52
492,1,0,22,0,0,0,0,4
493,0,0,24,0,0,0,0,0
494,1,1,31,0,0,0,0,18
495,0,1,29,0,0,0,0,0
496,0,0,35,1,0,0,0,44
497,1,1,35,0,0,0,0,52
498,0,1,32,0,0,0,1,0
499,1,0,31,0,0,0,1,0
500,0,1,31,0,0,0,1,0
501,0,1,24,0,0,0,0,0
502,0,1,35,0,0,0,0,29
503,0,1,26,0,0,0,0,0
504,1,1,25,0,0,0,1,0
505,0,0,30,0,0,0,0,0
506,0,1,23,0,0,0,0,0
507,0,0,25,0,0,0,1,30
508,0,1,31,0,0,0,0,48
509,0,0,28,0,0,0,0,18
510,1,0,31,0,0,0,1,0
511,1,1,33,1,0,0,0,40
512,1,0,35,0,0,0,1,52
513,1,0,33,0,0,0,1,52
514,1,0,33,0,0,0,0,0
515,0,0,25,0,0,1,0,52
516,1,0,25,0,0,0,0,0
517,0,0,32,0,0,0,1,0
518,1,0,35,0,0,0,0,52
519,1,0,29,0,0,0,0,52
520,1,0,25,0,1,0,0,0
521,1,1,32,0,0,0,0,1
522,0,0,28,0,0,0,0,0
523,0,0,27,0,0,0,0,0
524,0,1,27,0,0,0,1,0
525,1,1,33,1,0,0,1,0
526,1,0,29,0,0,0,0,17
527,0,1,29,0,0,0,0,15
528,0,1,33,0,0,0,1,8
529,1,1,31,0,0,0,0,52
530,0,1,25,0,1,0,0,0
531,1,0,30,0,0,0,0,0
532,0,1,28,0,0,0,0,0
533,1,0,25,0,0,1,1,36
534,0,0,28,0,0,1,1,40
535,0,1,22,0,1,0,0,0
536,1,0,25,0,0,0,0,50
537,0,1,34,0,1,1,0,0
538,1,0,34,0,0,0,1,52
539,1,0,23,0,0,0,0,0
540,0,1,32,0,0,0,0,0
541,1,0,34,1,0,0,0,52
542,1,1,30,0,0,1,0,0
543,1,0,29,0,0,0,0,0
544,0,0,31,0,0,0,1,0
545,1,1,34,0,0,0,0,36
546,0,0,24,0,0,0,1,14
547,1,1,30,0,0,0,1,0
548,0,1,32,0,0,0,1,0
549,0,0,22,0,0,0,0,48
550,0,0,29,0,0,0,1,0
551,0,1,27,0,0,0,0,0
552,0,0,29,0,0,0,0,0
553,1,1,28,0,0,0,0,52
554,0,0,34,0,0,0,0,0
555,0,1,32,0,0,0,1,30
556,0,0,24,1,0,0,0,13
557,1,1,32,0,0,0,0,52
558,0,1,34,0,0,0,0,39
559,1,0,27,0,0,0,0,29
560,1,1,28,0,0,0,1,0
561,1,1,32,0,0,0,0,0
562,0,1,27,0,0,0,0,0
563,0,0,34,0,0,0,0,0
564,1,0,33,0,0,0,1,0
565,0,1,31,0,1,0,1,12
566,1,1,33,0,0,0,1,32
567,0,1,35,1,0,0,0,37
568,1,0,30,0,0,0,0,45
569,1,0,32,0,0,0,1,0
570,1,1,35,0,0,0,1,36
571,1,1,24,0,0,0,0,52
572,1,1,26,0,0,0,0,0
573,1,1,33,0,0,0,1,52
574,0,0,33,0,1,0,1,0
575,0,1,34,0,0,1,1,0
576,1,0,32,0,1,0,1,0
577,0,0,27,0,0,0,0,13
578,1,0,27,0,0,0,0,6
579,1,0,28,0,0,0,1,0
580,1,0,30,0,0,0,0,52
581,0,0,35,0,0,0,1,0
582,1,1,33,0,0,0,1,0
583,1,1,27,0,0,0,1,0
584,0,1,30,0,0,0,1,0
585,1,1,29,0,0,0,0,49
586,1,0,34,0,0,0,0,20
587,1,0,35,0,0,0,0,40
588,1,0,35,0,0,0,0,52
589,0,0,34,0,0,0,1,1
590,0,1,34,0,0,0,1,24
591,0,0,32,0,0,0,1,0
592,1,1,35,0,0,0,1,0
593,0,0,22,0,0,1,1,0
594,0,0,28,0,0,0,0,52
595,0,1,33,0,0,0,0,42
596,0,1,32,0,0,0,0,52
597,0,0,32,0,0,0,1,0
598,1,1,28,0,0,0,0,0
599,1,0,32,0,0,0,0,11
600,0,0,28,0,0,0,1,12
601,1,1,25,1,0,0,0,0
602,0,1,34,0,0,0,1,52
603,1,1,34,0,0,0,1,0
604,0,1,28,0,0,0,0,48
605,1,1,32,0,0,0,0,52
606,0,0,33,0,0,0,0,0
607,0,0,30,0,0,0,0,52
608,1,1,27,0,0,0,0,0
609,1,0,33,0,0,0,1,0
610,0,1,35,0,0,0,0,30
611,1,0,27,0,0,0,0,0
612,0,1,31,0,0,0,1,0
613,1,0,32,0,0,0,0,52
614,0,0,28,0,1,0,1,52
615,0,1,35,0,0,0,0,52
616,1,0,32,0,0,0,1,0
617,1,0,35,0,0,0,0,52
618,0,0,35,0,0,0,1,0
619,0,1,31,0,0,0,0,0
620,1,1,34,0,0,0,0,0
621,0,1,33,0,0,0,0,0
622,1,0,30,0,0,0,0,52
623,0,0,28,0,1,0,0,0
624,1,1,27,0,0,0,0,0
625,0,1,35,0,0,0,0,52
626,0,0,35,0,0,0,0,0
627,0,0,33,0,0,0,1,30
628,1,1,25,0,0,0,0,0
629,1,0,33,0,0,0,0,0
630,1,0,35,0,0,0,0,38
631,1,1,22,0,0,0,1,52
632,1,1,29,0,0,0,0,10
633,0,1,30,0,0,0,0,28
634,1,0,30,0,0,0,1,52
635,0,1,35,0,0,0,0,45
636,1,0,32,0,0,0,0,0
637,1,0,35,0,0,0,0,26
638,0,0,26,0,0,0,0,52
639,0,1,31,0,0,0,0,52
640,0,1,31,0,0,0,0,48
641,1,1,32,0,0,0,0,0
642,0,1,33,0,0,0,1,0
643,0,0,35,0,0,0,1,0
644,0,0,34,0,0,0,1,0
645,1,1,29,0,1,0,0,52
646,1,0,29,0,0,0,0,30
647,0,0,34,0,0,0,0,0
648,0,1,26,0,0,0,0,36
649,1,0,29,0,0,0,0,0
650,1,1,24,0,0,0,1,52
651,1,1,31,0,0,0,1,0
652,1,1,28,0,0,0,1,7
653,0,0,35,0,0,0,0,52
654,0,0,29,0,0,0,0,52
655,1,1,27,0,0,1,0,0
656,0,0,35,0,0,0,0,0
657,0,1,25,0,0,0,0,12
658,1,1,24,0,0,0,1,40
659,1,0,34,0,0,0,0,52
660,0,1,30,0,0,0,0,10
661,0,0,33,0,0,0,1,52
662,0,0,33,0,0,0,1,30
663,0,1,30,0,0,0,1,0
664,1,1,33,0,0,1,0,52
665,0,1,31,0,1,0,0,39
666,1,0,32,0,0,0,0,52
667,1,0,32,0,0,0,0,0
668,1,1,27,0,0,0,1,0
669,1,1,31,0,1,1,1,0
670,1,1,33,0,0,0,0,41
671,0,1,27,0,0,0,0,40
672,0,1,33,0,0,0,0,0
673,0,1,33,0,0,0,0,20
674,1,1,27,0,0,0,0,0
675,1,1,34,0,0,0,1,6
676,1,0,23,0,0,0,0,14
677,0,0,34,0,0,0,0,52
678,1,0,33,0,0,0,0,0
679,0,1,32,0,0,1,0,36
680,1,1,33,0,0,0,0,0
681,0,1,29,0,0,0,0,0
682,0,1,30,0,0,0,0,52
683,0,1,30,0,0,0,1,26
684,1,1,33,0,0,0,0,0
685,0,0,30,0,0,0,1,10
686,1,1,23,0,0,0,1,0
687,1,0,31,0,0,0,0,52
688,0,1,32,0,0,0,1,17
689,1,0,30,0,0,0,0,0
690,0,1,31,1,0,0,1,0
691,0,0,29,0,1,0,1,0
692,1,1,29,0,0,0,0,0
693,1,0,24,0,0,0,0,52
694,1,0,27,0,0,0,0,44
695,1,0,30,0,0,0,1,0
696,0,0,35,0,0,0,1,16
697,0,0,26,0,0,0,0,52
698,1,0,33,0,0,0,0,52
699,0,0,34,0,0,0,0,38
700,0,0,32,0,1,0,1,52
701,1,0,29,0,0,0,0,52
702,1,0,28,0,0,1,1,0
703,0,0,31,0,0,0,0,52
704,0,0,34,0,0,0,0,0
705,1,1,33,0,0,0,0,0
706,0,0,22,0,1,1,1,0
707,0,0,32,0,1,0,1,42
708,1,1,30,0,0,0,0,10
709,0,1,24,0,0,0,0,52
710,1,1,33,0,0,0,0,0
711,1,0,28,0,0,0,0,52
712,0,1,25,0,0,0,0,0
713,1,1,27,0,0,0,1,0
714,0,1,24,0,0,0,0,4
715,0,0,33,0,0,0,0,52
716,1,0,29,0,0,0,1,0
717,0,1,35,0,0,0,0,0
718,0,1,31,0,0,0,0,52
719,0,1,32,0,0,0,0,36
720,0,0,27,0,0,0,0,0
721,0,0,35,1,0,0,1,52
722,1,0,34,0,0,0,0,0
723,1,1,26,0,0,0,1,30
724,1,0,34,0,0,0,0,8
725,0,0,31,0,0,0,1,0
726,0,1,31,0,0,0,0,52
727,0,0,32,0,0,0,0,0
728,0,0,28,0,0,0,1,0
729,1,1,28,0,0,0,0,3
730,1,0,30,0,0,0,0,30
731,0,1,35,0,0,0,0,52
732,0,0,35,0,0,0,0,0
733,1,0,33,0,0,0,0,36
734,1,0,22,0,0,0,1,3
735,0,0,32,0,0,0,0,52
736,1,1,28,0,0,0,1,52
737,1,1,32,0,0,0,1,30
738,0,0,29,0,0,0,0,52
739,0,0,26,0,0,0,0,0
740,1,1,28,0,0,0,0,0
741,1,0,33,0,0,0,1,0
742,1,1,32,0,0,1,0,52
743,0,1,33,0,0,0,0,52
744,0,0,33,0,0,0,1,52
745,1,0,29,0,1,0,0,0
746,1,0,33,0,0,0,1,12
747,0,1,30,0,0,0,0,52
748,0,1,31,0,0,0,0,0
749,1,0,35,1,0,0,1,16
750,1,0,24,0,0,0,0,0
751,1,1,27,0,0,0,0,0
752,0,1,29,0,0,0,0,52
753,1,1,27,0,0,0,0,7
754,0,0,33,0,0,0,0,26
755,1,1,30,0,0,0,0,0
756,0,0,29,0,0,0,0,24
757,1,0,32,0,0,0,0,52
758,1,0,30,0,0,0,0,42
759,1,0,30,0,0,0,0,0
760,0,0,26,0,0,0,0,9
761,0,0,29,0,1,0,0,0
762,0,1,35,0,0,0,1,52
763,0,1,22,0,0,0,0,1
764,0,0,30,0,0,0,0,0
765,1,1,33,0,0,0,1,52
766,0,1,35,0,0,0,1,52
767,0,1,30,1,0,0,0,52
768,0,0,34,0,0,0,1,42
769,0,1,32,0,0,0,1,0
770,1,1,29,0,0,0,0,20
771,0,0,24,0,0,0,1,0
772,0,0,25,0,0,0,0,52
773,1,0,28,1,0,0,0,52
